Rainfall - (MM), Year, Statistics, Country
84.4114,1969, Sep Average, Bosnia and Herzegovina
8.54329,1969, Oct Average, Bosnia and Herzegovina
105.465,1969, Nov Average, Bosnia and Herzegovina
184.767,1969, Dec Average, Bosnia and Herzegovina
150.299,1970, Jan Average, Bosnia and Herzegovina
122.768,1970, Feb Average, Bosnia and Herzegovina
119.609,1970, Mar Average, Bosnia and Herzegovina
115.157,1970, Apr Average, Bosnia and Herzegovina
81.1213,1970, May Average, Bosnia and Herzegovina
79.2551,1970, Jun Average, Bosnia and Herzegovina
96.9748,1970, Jul Average, Bosnia and Herzegovina
103.763,1970, Aug Average, Bosnia and Herzegovina
24.1571,1970, Sep Average, Bosnia and Herzegovina
95.1591,1970, Oct Average, Bosnia and Herzegovina
84.27,1970, Nov Average, Bosnia and Herzegovina
98.3692,1970, Dec Average, Bosnia and Herzegovina
102.635,1971, Jan Average, Bosnia and Herzegovina
42.7402,1971, Feb Average, Bosnia and Herzegovina
96.8206,1971, Mar Average, Bosnia and Herzegovina
66.597,1971, Apr Average, Bosnia and Herzegovina
62.5512,1971, May Average, Bosnia and Herzegovina
73.535,1971, Jun Average, Bosnia and Herzegovina
40.3648,1971, Jul Average, Bosnia and Herzegovina
48.7107,1971, Aug Average, Bosnia and Herzegovina
109.824,1971, Sep Average, Bosnia and Herzegovina
37.1266,1971, Oct Average, Bosnia and Herzegovina
126,1971, Nov Average, Bosnia and Herzegovina
34.8612,1971, Dec Average, Bosnia and Herzegovina
86.009,1972, Jan Average, Bosnia and Herzegovina
80.0902,1972, Feb Average, Bosnia and Herzegovina
22.2716,1972, Mar Average, Bosnia and Herzegovina
124.813,1972, Apr Average, Bosnia and Herzegovina
102.941,1972, May Average, Bosnia and Herzegovina
40.5645,1972, Jun Average, Bosnia and Herzegovina
175.808,1972, Jul Average, Bosnia and Herzegovina
149.438,1972, Aug Average, Bosnia and Herzegovina
83.8917,1972, Sep Average, Bosnia and Herzegovina
83.9508,1972, Oct Average, Bosnia and Herzegovina
107.037,1972, Nov Average, Bosnia and Herzegovina
17.5613,1972, Dec Average, Bosnia and Herzegovina
57.0189,1973, Jan Average, Bosnia and Herzegovina
99.4829,1973, Feb Average, Bosnia and Herzegovina
35.3019,1973, Mar Average, Bosnia and Herzegovina
124.741,1973, Apr Average, Bosnia and Herzegovina
21.6347,1973, May Average, Bosnia and Herzegovina
99.5797,1973, Jun Average, Bosnia and Herzegovina
83.7797,1973, Jul Average, Bosnia and Herzegovina
60.1824,1973, Aug Average, Bosnia and Herzegovina
92.8815,1973, Sep Average, Bosnia and Herzegovina
61.9594,1973, Oct Average, Bosnia and Herzegovina
66.7162,1973, Nov Average, Bosnia and Herzegovina
94.5219,1973, Dec Average, Bosnia and Herzegovina
78.3093,1974, Jan Average, Bosnia and Herzegovina
70.3341,1974, Feb Average, Bosnia and Herzegovina
38.7576,1974, Mar Average, Bosnia and Herzegovina
64.3822,1974, Apr Average, Bosnia and Herzegovina
126.177,1974, May Average, Bosnia and Herzegovina
128.16,1974, Jun Average, Bosnia and Herzegovina
64.8006,1974, Jul Average, Bosnia and Herzegovina
90.8304,1974, Aug Average, Bosnia and Herzegovina
124.466,1974, Sep Average, Bosnia and Herzegovina
282.57,1974, Oct Average, Bosnia and Herzegovina
75.0422,1974, Nov Average, Bosnia and Herzegovina
53.5812,1974, Dec Average, Bosnia and Herzegovina
30.9634,1975, Jan Average, Bosnia and Herzegovina
17.5473,1975, Feb Average, Bosnia and Herzegovina
61.9018,1975, Mar Average, Bosnia and Herzegovina
78.819,1975, Apr Average, Bosnia and Herzegovina
112.353,1975, May Average, Bosnia and Herzegovina
97.3692,1975, Jun Average, Bosnia and Herzegovina
93.4063,1975, Jul Average, Bosnia and Herzegovina
117.833,1975, Aug Average, Bosnia and Herzegovina
43.5312,1975, Sep Average, Bosnia and Herzegovina
135.688,1975, Oct Average, Bosnia and Herzegovina
91.1674,1975, Nov Average, Bosnia and Herzegovina
47.4292,1975, Dec Average, Bosnia and Herzegovina
65.4549,1976, Jan Average, Bosnia and Herzegovina
38.5287,1976, Feb Average, Bosnia and Herzegovina
60.0999,1976, Mar Average, Bosnia and Herzegovina
103.425,1976, Apr Average, Bosnia and Herzegovina
89.2674,1976, May Average, Bosnia and Herzegovina
101.475,1976, Jun Average, Bosnia and Herzegovina
138.169,1976, Jul Average, Bosnia and Herzegovina
105.664,1976, Aug Average, Bosnia and Herzegovina
103.387,1976, Sep Average, Bosnia and Herzegovina
99.0967,1976, Oct Average, Bosnia and Herzegovina
118.961,1976, Nov Average, Bosnia and Herzegovina
161.641,1976, Dec Average, Bosnia and Herzegovina
84.3631,1977, Jan Average, Bosnia and Herzegovina
99.705,1977, Feb Average, Bosnia and Herzegovina
63.0034,1977, Mar Average, Bosnia and Herzegovina
80.7224,1977, Apr Average, Bosnia and Herzegovina
64.2785,1977, May Average, Bosnia and Herzegovina
52.219,1977, Jun Average, Bosnia and Herzegovina
111.692,1977, Jul Average, Bosnia and Herzegovina
98.074,1977, Aug Average, Bosnia and Herzegovina
102.66,1977, Sep Average, Bosnia and Herzegovina
64.4669,1977, Oct Average, Bosnia and Herzegovina
140.943,1977, Nov Average, Bosnia and Herzegovina
102.731,1977, Dec Average, Bosnia and Herzegovina
91.4372,1978, Jan Average, Bosnia and Herzegovina
99.0505,1978, Feb Average, Bosnia and Herzegovina
92.4233,1978, Mar Average, Bosnia and Herzegovina
99.2285,1978, Apr Average, Bosnia and Herzegovina
191.84,1978, May Average, Bosnia and Herzegovina
125.171,1978, Jun Average, Bosnia and Herzegovina
57.4732,1978, Jul Average, Bosnia and Herzegovina
47.6311,1978, Aug Average, Bosnia and Herzegovina
141.158,1978, Sep Average, Bosnia and Herzegovina
38.5964,1978, Oct Average, Bosnia and Herzegovina
35.7309,1978, Nov Average, Bosnia and Herzegovina
116.622,1978, Dec Average, Bosnia and Herzegovina
132.688,1979, Jan Average, Bosnia and Herzegovina
95.9377,1979, Feb Average, Bosnia and Herzegovina
63.3543,1979, Mar Average, Bosnia and Herzegovina
82.5719,1979, Apr Average, Bosnia and Herzegovina
33.7139,1979, May Average, Bosnia and Herzegovina
90.2239,1979, Jun Average, Bosnia and Herzegovina
115.455,1979, Jul Average, Bosnia and Herzegovina
105.755,1979, Aug Average, Bosnia and Herzegovina
64.0786,1979, Sep Average, Bosnia and Herzegovina
106.835,1979, Oct Average, Bosnia and Herzegovina
125.617,1979, Nov Average, Bosnia and Herzegovina
120.579,1979, Dec Average, Bosnia and Herzegovina
100.553,1980, Jan Average, Bosnia and Herzegovina
54.5737,1980, Feb Average, Bosnia and Herzegovina
90.2261,1980, Mar Average, Bosnia and Herzegovina
100.707,1980, Apr Average, Bosnia and Herzegovina
142.131,1980, May Average, Bosnia and Herzegovina
91.2279,1980, Jun Average, Bosnia and Herzegovina
51.6962,1980, Jul Average, Bosnia and Herzegovina
46.804,1980, Aug Average, Bosnia and Herzegovina
47.5857,1980, Sep Average, Bosnia and Herzegovina
131.248,1980, Oct Average, Bosnia and Herzegovina
191.502,1980, Nov Average, Bosnia and Herzegovina
115.694,1980, Dec Average, Bosnia and Herzegovina
73.9954,1981, Jan Average, Bosnia and Herzegovina
67.158,1981, Feb Average, Bosnia and Herzegovina
101.08,1981, Mar Average, Bosnia and Herzegovina
59.4651,1981, Apr Average, Bosnia and Herzegovina
99.9453,1981, May Average, Bosnia and Herzegovina
148.494,1981, Jun Average, Bosnia and Herzegovina
52.6583,1981, Jul Average, Bosnia and Herzegovina
69.7162,1981, Aug Average, Bosnia and Herzegovina
113.21,1981, Sep Average, Bosnia and Herzegovina
92.9021,1981, Oct Average, Bosnia and Herzegovina
68.6515,1981, Nov Average, Bosnia and Herzegovina
180.942,1981, Dec Average, Bosnia and Herzegovina
32.4598,1982, Jan Average, Bosnia and Herzegovina
19.0052,1982, Feb Average, Bosnia and Herzegovina
99.8687,1982, Mar Average, Bosnia and Herzegovina
71.2594,1982, Apr Average, Bosnia and Herzegovina
42.7234,1982, May Average, Bosnia and Herzegovina
81.498,1982, Jun Average, Bosnia and Herzegovina
117.21,1982, Jul Average, Bosnia and Herzegovina
84.9663,1982, Aug Average, Bosnia and Herzegovina
52.3108,1982, Sep Average, Bosnia and Herzegovina
132.752,1982, Oct Average, Bosnia and Herzegovina
63.4765,1982, Nov Average, Bosnia and Herzegovina
162.784,1982, Dec Average, Bosnia and Herzegovina
31.6555,1983, Jan Average, Bosnia and Herzegovina
111.042,1983, Feb Average, Bosnia and Herzegovina
56.64,1983, Mar Average, Bosnia and Herzegovina
45.5475,1983, Apr Average, Bosnia and Herzegovina
80.932,1983, May Average, Bosnia and Herzegovina
96.5308,1983, Jun Average, Bosnia and Herzegovina
61.1301,1983, Jul Average, Bosnia and Herzegovina
58.4293,1983, Aug Average, Bosnia and Herzegovina
98.9951,1983, Sep Average, Bosnia and Herzegovina
51.3402,1983, Oct Average, Bosnia and Herzegovina
43.2145,1983, Nov Average, Bosnia and Herzegovina
58.8323,1983, Dec Average, Bosnia and Herzegovina
130.099,1984, Jan Average, Bosnia and Herzegovina
105.485,1984, Feb Average, Bosnia and Herzegovina
73.8259,1984, Mar Average, Bosnia and Herzegovina
74.3486,1984, Apr Average, Bosnia and Herzegovina
134.123,1984, May Average, Bosnia and Herzegovina
85.6044,1984, Jun Average, Bosnia and Herzegovina
63.3944,1984, Jul Average, Bosnia and Herzegovina
104.454,1984, Aug Average, Bosnia and Herzegovina
135.721,1984, Sep Average, Bosnia and Herzegovina
103.633,1984, Oct Average, Bosnia and Herzegovina
92.5999,1984, Nov Average, Bosnia and Herzegovina
25.0122,1984, Dec Average, Bosnia and Herzegovina
76.1801,1985, Jan Average, Bosnia and Herzegovina
52.159,1985, Feb Average, Bosnia and Herzegovina
125.384,1985, Mar Average, Bosnia and Herzegovina
98.0707,1985, Apr Average, Bosnia and Herzegovina
76.0199,1985, May Average, Bosnia and Herzegovina
97.7818,1985, Jun Average, Bosnia and Herzegovina
27.8514,1985, Jul Average, Bosnia and Herzegovina
82.5913,1985, Aug Average, Bosnia and Herzegovina
15.986,1985, Sep Average, Bosnia and Herzegovina
43.2453,1985, Oct Average, Bosnia and Herzegovina
181.908,1985, Nov Average, Bosnia and Herzegovina
87.0108,1985, Dec Average, Bosnia and Herzegovina
101.978,1986, Jan Average, Bosnia and Herzegovina
147.645,1986, Feb Average, Bosnia and Herzegovina
83.7877,1986, Mar Average, Bosnia and Herzegovina
98.1358,1986, Apr Average, Bosnia and Herzegovina
67.8461,1986, May Average, Bosnia and Herzegovina
129.263,1986, Jun Average, Bosnia and Herzegovina
124.506,1986, Jul Average, Bosnia and Herzegovina
52.5913,1986, Aug Average, Bosnia and Herzegovina
33.4711,1986, Sep Average, Bosnia and Herzegovina
84.1997,1986, Oct Average, Bosnia and Herzegovina
47.9499,1986, Nov Average, Bosnia and Herzegovina
42.701,1986, Dec Average, Bosnia and Herzegovina
126.474,1987, Jan Average, Bosnia and Herzegovina
73.188,1987, Feb Average, Bosnia and Herzegovina
73.1633,1987, Mar Average, Bosnia and Herzegovina
74.0082,1987, Apr Average, Bosnia and Herzegovina
162.873,1987, May Average, Bosnia and Herzegovina
73.1086,1987, Jun Average, Bosnia and Herzegovina
48.8776,1987, Jul Average, Bosnia and Herzegovina
54.9633,1987, Aug Average, Bosnia and Herzegovina
48.9494,1987, Sep Average, Bosnia and Herzegovina
73.923,1987, Oct Average, Bosnia and Herzegovina
159.617,1987, Nov Average, Bosnia and Herzegovina
68.6135,1987, Dec Average, Bosnia and Herzegovina
83.0376,1988, Jan Average, Bosnia and Herzegovina
98.6746,1988, Feb Average, Bosnia and Herzegovina
126.154,1988, Mar Average, Bosnia and Herzegovina
75.7582,1988, Apr Average, Bosnia and Herzegovina
72.9313,1988, May Average, Bosnia and Herzegovina
103.849,1988, Jun Average, Bosnia and Herzegovina
16.3854,1988, Jul Average, Bosnia and Herzegovina
74.268,1988, Aug Average, Bosnia and Herzegovina
101.028,1988, Sep Average, Bosnia and Herzegovina
68.1103,1988, Oct Average, Bosnia and Herzegovina
66.9559,1988, Nov Average, Bosnia and Herzegovina
62.0415,1988, Dec Average, Bosnia and Herzegovina
8.29631,1989, Jan Average, Bosnia and Herzegovina
34.5981,1989, Feb Average, Bosnia and Herzegovina
68.0665,1989, Mar Average, Bosnia and Herzegovina
88.4297,1989, Apr Average, Bosnia and Herzegovina
121.975,1989, May Average, Bosnia and Herzegovina
113.184,1989, Jun Average, Bosnia and Herzegovina
108.518,1989, Jul Average, Bosnia and Herzegovina
130.749,1989, Aug Average, Bosnia and Herzegovina
85.9422,1989, Sep Average, Bosnia and Herzegovina
89.355,1989, Oct Average, Bosnia and Herzegovina
69.1036,1989, Nov Average, Bosnia and Herzegovina
23.3662,1989, Dec Average, Bosnia and Herzegovina
17.0588,1990, Jan Average, Bosnia and Herzegovina
36.5788,1990, Feb Average, Bosnia and Herzegovina
58.028,1990, Mar Average, Bosnia and Herzegovina
101.388,1990, Apr Average, Bosnia and Herzegovina
52.9607,1990, May Average, Bosnia and Herzegovina
78.4489,1990, Jun Average, Bosnia and Herzegovina
46.4532,1990, Jul Average, Bosnia and Herzegovina
34.8155,1990, Aug Average, Bosnia and Herzegovina
75.6617,1990, Sep Average, Bosnia and Herzegovina
90.6013,1990, Oct Average, Bosnia and Herzegovina
108.299,1990, Nov Average, Bosnia and Herzegovina
111.863,1990, Dec Average, Bosnia and Herzegovina
56.6044,1961, Jan Average, Botswana
85.0713,1961, Feb Average, Botswana
111.234,1961, Mar Average, Botswana
57.7018,1961, Apr Average, Botswana
19.5944,1961, May Average, Botswana
7.53126,1961, Jun Average, Botswana
2.39171,1961, Jul Average, Botswana
0.86371,1961, Aug Average, Botswana
0.97564,1961, Sep Average, Botswana
3.87624,1961, Oct Average, Botswana
64.2128,1961, Nov Average, Botswana
37.8062,1961, Dec Average, Botswana
77.742,1962, Jan Average, Botswana
58.6382,1962, Feb Average, Botswana
27.2523,1962, Mar Average, Botswana
35.0393,1962, Apr Average, Botswana
0.60692,1962, May Average, Botswana
0.27813,1962, Jun Average, Botswana
0.00048,1962, Jul Average, Botswana
0.92541,1962, Aug Average, Botswana
1.14708,1962, Sep Average, Botswana
6.61335,1962, Oct Average, Botswana
74.1912,1962, Nov Average, Botswana
78.6725,1962, Dec Average, Botswana
121.481,1963, Jan Average, Botswana
38.3656,1963, Feb Average, Botswana
43.4193,1963, Mar Average, Botswana
41.1267,1963, Apr Average, Botswana
9.34112,1963, May Average, Botswana
6.8819,1963, Jun Average, Botswana
0.0676,1963, Jul Average, Botswana
0.02299,1963, Aug Average, Botswana
0.10253,1963, Sep Average, Botswana
35.3806,1963, Oct Average, Botswana
65.9182,1963, Nov Average, Botswana
84.6588,1963, Dec Average, Botswana
50.6171,1964, Jan Average, Botswana
30.3091,1964, Feb Average, Botswana
21.4071,1964, Mar Average, Botswana
6.62239,1964, Apr Average, Botswana
0.36897,1964, May Average, Botswana
0.58698,1964, Jun Average, Botswana
0.17737,1964, Jul Average, Botswana
0.22283,1964, Aug Average, Botswana
0.2415,1964, Sep Average, Botswana
26.4583,1964, Oct Average, Botswana
36.0001,1964, Nov Average, Botswana
63.7182,1964, Dec Average, Botswana
53.8861,1965, Jan Average, Botswana
28.8162,1965, Feb Average, Botswana
18.6701,1965, Mar Average, Botswana
36.3312,1965, Apr Average, Botswana
0.28087,1965, May Average, Botswana
0.51897,1965, Jun Average, Botswana
0.31573,1965, Jul Average, Botswana
0.0151,1965, Aug Average, Botswana
3.47199,1965, Sep Average, Botswana
3.93032,1965, Oct Average, Botswana
40.8298,1965, Nov Average, Botswana
27.4251,1965, Dec Average, Botswana
90.0387,1966, Jan Average, Botswana
147.535,1966, Feb Average, Botswana
33.3713,1966, Mar Average, Botswana
21.8174,1966, Apr Average, Botswana
1.22931,1966, May Average, Botswana
6.04151,1966, Jun Average, Botswana
0,1966, Jul Average, Botswana
0.28957,1966, Aug Average, Botswana
17.5168,1966, Sep Average, Botswana
18.1555,1966, Oct Average, Botswana
20.0678,1966, Nov Average, Botswana
81.5257,1966, Dec Average, Botswana
171.719,1967, Jan Average, Botswana
113.577,1967, Feb Average, Botswana
35.705,1967, Mar Average, Botswana
80.1647,1967, Apr Average, Botswana
10.7642,1967, May Average, Botswana
0.14842,1967, Jun Average, Botswana
0.01207,1967, Jul Average, Botswana
1.42833,1967, Aug Average, Botswana
1.38544,1967, Sep Average, Botswana
18.1803,1967, Oct Average, Botswana
55.5948,1967, Nov Average, Botswana
39.7904,1967, Dec Average, Botswana
65.5784,1968, Jan Average, Botswana
50.5691,1968, Feb Average, Botswana
92.8701,1968, Mar Average, Botswana
58.296,1968, Apr Average, Botswana
25.139,1968, May Average, Botswana
3.97639,1968, Jun Average, Botswana
0.01439,1968, Jul Average, Botswana
0.32751,1968, Aug Average, Botswana
0.23811,1968, Sep Average, Botswana
10.235,1968, Oct Average, Botswana
49.312,1968, Nov Average, Botswana
54.9231,1968, Dec Average, Botswana
52.0504,1969, Jan Average, Botswana
85.5745,1969, Feb Average, Botswana
83.5325,1969, Mar Average, Botswana
28.3852,1969, Apr Average, Botswana
9.37145,1969, May Average, Botswana
0.02207,1969, Jun Average, Botswana
0.12196,1969, Jul Average, Botswana
0.40494,1969, Aug Average, Botswana
7.36924,1969, Sep Average, Botswana
33.2458,1969, Oct Average, Botswana
35.6871,1969, Nov Average, Botswana
56.5351,1969, Dec Average, Botswana
44.0283,1970, Jan Average, Botswana
46.0684,1970, Feb Average, Botswana
15.6157,1970, Mar Average, Botswana
15.4706,1970, Apr Average, Botswana
2.32678,1970, May Average, Botswana
3.04993,1970, Jun Average, Botswana
0.72728,1970, Jul Average, Botswana
0.25111,1970, Aug Average, Botswana
1.97565,1970, Sep Average, Botswana
11.1588,1970, Oct Average, Botswana
48.4885,1970, Nov Average, Botswana
85.676,1970, Dec Average, Botswana
134.805,1971, Jan Average, Botswana
53.2929,1971, Feb Average, Botswana
30.3296,1971, Mar Average, Botswana
25.4792,1971, Apr Average, Botswana
8.61737,1971, May Average, Botswana
0.48656,1971, Jun Average, Botswana
0.07467,1971, Jul Average, Botswana
0.00361,1971, Aug Average, Botswana
7.13178,1971, Sep Average, Botswana
20.6395,1971, Oct Average, Botswana
67.7927,1971, Nov Average, Botswana
46.0252,1971, Dec Average, Botswana
195.551,1972, Jan Average, Botswana
36.917,1972, Feb Average, Botswana
108.878,1972, Mar Average, Botswana
23.0442,1972, Apr Average, Botswana
1.42716,1972, May Average, Botswana
0.26519,1972, Jun Average, Botswana
0.004,1972, Jul Average, Botswana
0.01638,1972, Aug Average, Botswana
1.65504,1972, Sep Average, Botswana
8.42994,1972, Oct Average, Botswana
19.7963,1972, Nov Average, Botswana
33.2432,1972, Dec Average, Botswana
50.6443,1973, Jan Average, Botswana
93.5867,1973, Feb Average, Botswana
39.5555,1973, Mar Average, Botswana
25.2999,1973, Apr Average, Botswana
0.98534,1973, May Average, Botswana
0.10257,1973, Jun Average, Botswana
0.26674,1973, Jul Average, Botswana
0.09832,1973, Aug Average, Botswana
7.63083,1973, Sep Average, Botswana
59.1364,1973, Oct Average, Botswana
38.5777,1973, Nov Average, Botswana
139.591,1973, Dec Average, Botswana
209.155,1974, Jan Average, Botswana
150.984,1974, Feb Average, Botswana
61.8762,1974, Mar Average, Botswana
58.4723,1974, Apr Average, Botswana
5.63186,1974, May Average, Botswana
0.46583,1974, Jun Average, Botswana
0.17792,1974, Jul Average, Botswana
1.35486,1974, Aug Average, Botswana
11.8701,1974, Sep Average, Botswana
9.42623,1974, Oct Average, Botswana
79.908,1974, Nov Average, Botswana
70.85,1974, Dec Average, Botswana
114.443,1975, Jan Average, Botswana
61.3293,1975, Feb Average, Botswana
93.6751,1975, Mar Average, Botswana
48.9531,1975, Apr Average, Botswana
12.6637,1975, May Average, Botswana
0.28276,1975, Jun Average, Botswana
0.1327,1975, Jul Average, Botswana
1.00782,1975, Aug Average, Botswana
0.21417,1975, Sep Average, Botswana
4.99799,1975, Oct Average, Botswana
21.0016,1975, Nov Average, Botswana
101.124,1975, Dec Average, Botswana
150.63,1976, Jan Average, Botswana
104.83,1976, Feb Average, Botswana
116.979,1976, Mar Average, Botswana
32.099,1976, Apr Average, Botswana
9.74994,1976, May Average, Botswana
0.1057,1976, Jun Average, Botswana
0.00682,1976, Jul Average, Botswana
0.00964,1976, Aug Average, Botswana
20.0335,1976, Sep Average, Botswana
28.4255,1976, Oct Average, Botswana
50.6021,1976, Nov Average, Botswana
37.8687,1976, Dec Average, Botswana
90.9071,1977, Jan Average, Botswana
123.037,1977, Feb Average, Botswana
114.88,1977, Mar Average, Botswana
38.3868,1977, Apr Average, Botswana
3.9914,1977, May Average, Botswana
0.00977,1977, Jun Average, Botswana
7.00E-05,1977, Jul Average, Botswana
1.49853,1977, Aug Average, Botswana
21.9271,1977, Sep Average, Botswana
14.3659,1977, Oct Average, Botswana
43.0658,1977, Nov Average, Botswana
103.154,1977, Dec Average, Botswana
161.039,1978, Jan Average, Botswana
132.303,1978, Feb Average, Botswana
54.534,1978, Mar Average, Botswana
32.0944,1978, Apr Average, Botswana
4.8378,1978, May Average, Botswana
0.24922,1978, Jun Average, Botswana
0.03538,1978, Jul Average, Botswana
1.49986,1978, Aug Average, Botswana
9.0208,1978, Sep Average, Botswana
30.585,1978, Oct Average, Botswana
29.8483,1978, Nov Average, Botswana
52.3551,1978, Dec Average, Botswana
83.3498,1979, Jan Average, Botswana
51.8238,1979, Feb Average, Botswana
25.9839,1979, Mar Average, Botswana
11.1985,1979, Apr Average, Botswana
9.12393,1979, May Average, Botswana
0.29316,1979, Jun Average, Botswana
0.61853,1979, Jul Average, Botswana
3.65598,1979, Aug Average, Botswana
4.70499,1979, Sep Average, Botswana
35.0301,1979, Oct Average, Botswana
54.6579,1979, Nov Average, Botswana
52.4409,1979, Dec Average, Botswana
69.3443,1980, Jan Average, Botswana
127.127,1980, Feb Average, Botswana
46.0962,1980, Mar Average, Botswana
9.84656,1980, Apr Average, Botswana
0.12541,1980, May Average, Botswana
0.09333,1980, Jun Average, Botswana
0.01244,1980, Jul Average, Botswana
0.55668,1980, Aug Average, Botswana
16.1598,1980, Sep Average, Botswana
9.187,1980, Oct Average, Botswana
74.6713,1980, Nov Average, Botswana
51.8916,1980, Dec Average, Botswana
129.487,1981, Jan Average, Botswana
109.475,1981, Feb Average, Botswana
63.653,1981, Mar Average, Botswana
9.61808,1981, Apr Average, Botswana
1.08677,1981, May Average, Botswana
0.21273,1981, Jun Average, Botswana
0.10938,1981, Jul Average, Botswana
3.82951,1981, Aug Average, Botswana
1.16084,1981, Sep Average, Botswana
14.3185,1981, Oct Average, Botswana
55.3936,1981, Nov Average, Botswana
50.9525,1981, Dec Average, Botswana
44.4741,1982, Jan Average, Botswana
34.8545,1982, Feb Average, Botswana
32.1719,1982, Mar Average, Botswana
34.6275,1982, Apr Average, Botswana
2.13025,1982, May Average, Botswana
0.29218,1982, Jun Average, Botswana
1.2761,1982, Jul Average, Botswana
0.24886,1982, Aug Average, Botswana
1.24428,1982, Sep Average, Botswana
64.3522,1982, Oct Average, Botswana
49.3923,1982, Nov Average, Botswana
44.5673,1982, Dec Average, Botswana
65.8849,1983, Jan Average, Botswana
27.2917,1983, Feb Average, Botswana
33.755,1983, Mar Average, Botswana
19.9898,1983, Apr Average, Botswana
14.2419,1983, May Average, Botswana
3.26114,1983, Jun Average, Botswana
0.87224,1983, Jul Average, Botswana
0.59374,1983, Aug Average, Botswana
0.78109,1983, Sep Average, Botswana
19.4024,1983, Oct Average, Botswana
59.2861,1983, Nov Average, Botswana
89.2299,1983, Dec Average, Botswana
23.2846,1984, Jan Average, Botswana
34.7907,1984, Feb Average, Botswana
77.1435,1984, Mar Average, Botswana
20.7984,1984, Apr Average, Botswana
4.33286,1984, May Average, Botswana
0.5214,1984, Jun Average, Botswana
1.55601,1984, Jul Average, Botswana
0.15483,1984, Aug Average, Botswana
4.64236,1984, Sep Average, Botswana
23.3051,1984, Oct Average, Botswana
49.7195,1984, Nov Average, Botswana
28.0924,1984, Dec Average, Botswana
84.0043,1985, Jan Average, Botswana
59.9827,1985, Feb Average, Botswana
36.4948,1985, Mar Average, Botswana
2.38277,1985, Apr Average, Botswana
1.00439,1985, May Average, Botswana
0.05458,1985, Jun Average, Botswana
0.06137,1985, Jul Average, Botswana
0.48001,1985, Aug Average, Botswana
2.51313,1985, Sep Average, Botswana
23.788,1985, Oct Average, Botswana
13.3809,1985, Nov Average, Botswana
84.5556,1985, Dec Average, Botswana
57.7371,1986, Jan Average, Botswana
47.1352,1986, Feb Average, Botswana
36.0073,1986, Mar Average, Botswana
45.8058,1986, Apr Average, Botswana
0.65668,1986, May Average, Botswana
1.13837,1986, Jun Average, Botswana
0.6139,1986, Jul Average, Botswana
0.75665,1986, Aug Average, Botswana
10.8318,1986, Sep Average, Botswana
52.7266,1986, Oct Average, Botswana
64.3939,1986, Nov Average, Botswana
37.1498,1986, Dec Average, Botswana
39.6973,1987, Jan Average, Botswana
50.9835,1987, Feb Average, Botswana
33.7068,1987, Mar Average, Botswana
8.62154,1987, Apr Average, Botswana
0.4666,1987, May Average, Botswana
0.00417,1987, Jun Average, Botswana
0.0981,1987, Jul Average, Botswana
0.17677,1987, Aug Average, Botswana
9.74792,1987, Sep Average, Botswana
11.0827,1987, Oct Average, Botswana
46.4742,1987, Nov Average, Botswana
116.665,1987, Dec Average, Botswana
49.4311,1988, Jan Average, Botswana
170.341,1988, Feb Average, Botswana
87.8481,1988, Mar Average, Botswana
45.5714,1988, Apr Average, Botswana
1.07022,1988, May Average, Botswana
0.88546,1988, Jun Average, Botswana
0.0081,1988, Jul Average, Botswana
0.3234,1988, Aug Average, Botswana
7.96675,1988, Sep Average, Botswana
29.8145,1988, Oct Average, Botswana
23.2675,1988, Nov Average, Botswana
65.1547,1988, Dec Average, Botswana
132.342,1989, Jan Average, Botswana
130.359,1989, Feb Average, Botswana
24.7861,1989, Mar Average, Botswana
45.4613,1989, Apr Average, Botswana
3.66412,1989, May Average, Botswana
2.00868,1989, Jun Average, Botswana
0.0104,1989, Jul Average, Botswana
0.0727,1989, Aug Average, Botswana
0.11671,1989, Sep Average, Botswana
11.5404,1989, Oct Average, Botswana
37.9439,1989, Nov Average, Botswana
29.9359,1989, Dec Average, Botswana
72.2041,1990, Jan Average, Botswana
49.8618,1990, Feb Average, Botswana
50.2842,1990, Mar Average, Botswana
37.8179,1990, Apr Average, Botswana
0.85311,1990, May Average, Botswana
0.13063,1990, Jun Average, Botswana
0.01865,1990, Jul Average, Botswana
0.15065,1990, Aug Average, Botswana
0.51125,1990, Sep Average, Botswana
8.23573,1990, Oct Average, Botswana
17.4498,1990, Nov Average, Botswana
46.8107,1990, Dec Average, Botswana
248.476,1961, Jan Average, Brazil
223.857,1961, Feb Average, Brazil
205.598,1961, Mar Average, Brazil
169.816,1961, Apr Average, Brazil
122.79,1961, May Average, Brazil
84.0072,1961, Jun Average, Brazil
55.7984,1961, Jul Average, Brazil
43.3412,1961, Aug Average, Brazil
57.422,1961, Sep Average, Brazil
109.488,1961, Oct Average, Brazil
121.161,1961, Nov Average, Brazil
201.97,1961, Dec Average, Brazil
234.064,1962, Jan Average, Brazil
210.328,1962, Feb Average, Brazil
206.498,1962, Mar Average, Brazil
177.288,1962, Apr Average, Brazil
135.994,1962, May Average, Brazil
79.1286,1962, Jun Average, Brazil
58.2533,1962, Jul Average, Brazil
47.5014,1962, Aug Average, Brazil
76.6241,1962, Sep Average, Brazil
112.649,1962, Oct Average, Brazil
148.671,1962, Nov Average, Brazil
220.032,1962, Dec Average, Brazil
203.525,1963, Jan Average, Brazil
247.021,1963, Feb Average, Brazil
